I1,I2,T1,T2
0.01,0.21000000000000002,21.599999999999994,28.199999999999985
0.01,0.09,22.16666666666667,26.4
0.01,0.15000000000000002,21.766666666666666,27.40000000000001
0.01,0.22999999999999998,21.46666666666667,28.639999999999986
0.01,0.16999999999999998,21.733333333333334,27.66666666666666
0.01,0.27,29.4,24.76
0.01,0.19,21.666666666666657,27.96666666666667
0.01,0.25,28.961599999999997,24.8384
0.01,0.13,21.866666666666674,27.066666666666666
0.01,0.07,22.300000000000015,26.133333333333326
0.01,0.11,22.066666666666666,26.66666666666666
0.01,0.05,22.466666666666665,25.866666666666678
0.01,0.28,29.519999999999996,24.800000000000015
0.01,0.22000000000000003,21.566666666666666,28.4
0.01,0.24,21.46666666666667,28.800000000000015
0.01,0.16,21.76666666666667,27.5
0.01,0.18,21.666666666666657,27.866666666666674
0.01,0.26,29.24,24.760000000000005
0.01,0.1,22.09999999999999,26.566666666666666
0.01,0.2,21.53333333333333,28.233333333333334
0.01,0.14,21.800000000000015,27.233333333333334
0.01,0.08,22.199999999999992,26.266666666666666
0.01,0.12000000000000001,21.93333333333334,26.9
0.01,0.060000000000000005,22.333333333333343,26.03333333333334
0.01,0.29,29.800000000000015,24.679999999999996
0.01,0.31,30.199999999999985,24.679999999999996
0.01,0.33,30.6376,24.6024
0.01,0.35,31.119999999999994,24.560000000000006
0.01,0.41,32.71999999999998,24.360000000000014
0.01,0.43,33.239999999999995,24.360000000000014
0.01,0.39,32.079999999999984,24.48
0.01,0.37,31.592,24.528000000000002
0.01,0.49,35.32000000000001,24.199999999999985
0.01,0.45,33.920000000000016,24.23999999999998
0.01,0.47,34.600000000000016,24.239999999999995
0.01,0.51,36.19999999999999,24.099999999999994
0.01,0.3,30.0,24.719999999999995
0.01,0.32,30.4,24.68
0.01,0.42,32.92,24.400000000000013
0.01,0.33999999999999997,30.84,24.600000000000012
0.01,0.36,31.320000000000004,24.560000000000006
0.01,0.38,31.88,24.440000000000005
0.01,0.4,32.4,24.44
0.01,0.44,33.56,24.320000000000004
0.01,0.5,35.760000000000005,24.15000000000001
0.01,0.52,36.67999999999999,24.050000000000015
0.01,0.48,34.959999999999994,24.2
0.01,0.46,34.239999999999995,24.239999999999995
0.01,0.63,13.195822619047624,10.703308791208794
0.01,0.6100000000000001,14.736500000000003,10.251090909090905
0.01,0.5900000000000001,41.600000000000016,23.900000000000006
0.01,0.53,37.12,24.099999999999994
0.01,0.55,38.239999999999995,24.050000000000015
0.01,0.5700000000000001,39.72,23.949999999999992
0.01,0.64,10.64427843799069,8.785201516560578
0.01,0.6200000000000001,13.768166666666668,10.830666666666662
0.01,0.6000000000000001,43.25,23.800000000000015
0.01,0.54,37.760000000000005,23.949999999999985
0.01,0.56,39.039999999999985,23.90000000000001
0.01,0.5800000000000001,40.50000000000001,23.94999999999998
I1,I2,T1,T2
0.07,0.01,25.699999999999985,25.880000000000006
0.08,0.01,25.866666666666674,25.840000000000018
0.45,0.01,33.559999999999995,24.760000000000005
0.46,0.01,33.760000000000005,24.840000000000014
0.09,0.01,25.96666666666668,25.84
0.1,0.01,26.13333333333334,25.8
0.43,0.01,32.840000000000025,24.88
0.44,0.01,33.15999999999998,24.840000000000014
