I1,I2,T1,E1,T2,E2
0.61,0.20999999999999996,38.94999999999999,1.4210854715202004e-14,26.699999999999985,1.4210854715202004e-14
0.61,0.21999999999999997,38.85,7.105427357601002e-15,26.750000000000004,7.105427357601002e-15
0.61,0.42999999999999994,35.5,0.0,30.1,7.105427357601002e-15
0.61,0.43999999999999995,35.30000000000001,7.105427357601002e-15,30.34999999999998,1.0658141036401503e-14
0.61,0.10999999999999999,41.25,0.0,25.40000000000001,3.552713678800501e-15
0.61,0.12,40.94999999999999,1.4210854715202004e-14,25.550000000000008,1.0658141036401503e-14
0.61,0.3499999999999999,36.75,0.0,28.6,0.0
0.61,0.35999999999999993,36.55000000000001,1.4210854715202004e-14,28.800000000000015,1.0658141036401503e-14
0.61,0.09,41.85000000000003,2.1316282072803006e-14,25.099999999999994,3.552713678800501e-15
0.61,0.09999999999999999,41.55000000000002,7.105427357601002e-15,25.24999999999999,3.552713678800501e-15
0.61,0.36999999999999994,36.4,0.0,29.0,0.0
0.61,0.37999999999999995,36.24999999999999,0.0,29.15,7.105427357601002e-15
0.61,0.24999999999999994,38.25000000000001,0.0,27.19999999999998,7.105427357601002e-15
0.61,0.25999999999999995,38.14849999999999,0.00852936105461551,27.30150000000001,0.00852936105461551
0.61,0.4699999999999999,34.80000000000001,1.4210854715202004e-14,31.0,0.0
0.61,0.4799999999999999,34.75000000000001,0.0,31.05,1.0658141036401503e-14
0.61,0.07,42.55000000000001,7.105427357601002e-15,24.900000000000006,7.105427357601002e-15
0.61,0.08,42.19999999999999,1.4210854715202004e-14,25.0,0.0
0.61,0.38999999999999996,36.0,0.0,29.449999999999985,1.4210854715202004e-14
0.61,0.3999999999999999,35.94999999999999,1.4210854715202004e-14,29.550000000000015,7.105427357601002e-15
0.61,0.05,43.39999999999997,2.842170943040401e-14,24.700000000000003,7.105427357601002e-15
0.61,0.06,42.94999999999999,2.1316282072803006e-14,24.799999999999997,7.105427357601002e-15
0.61,0.4499999999999999,35.25,0.0,30.45,1.0658141036401503e-14
0.61,0.4599999999999999,35.00000000000001,0.0,30.699999999999985,1.4210854715202004e-14
0.61,0.26999999999999996,37.9,7.105427357601002e-15,27.5,0.0
0.61,0.27999999999999997,37.80000000000001,7.105427357601002e-15,27.6,3.552713678800501e-15
0.61,0.48999999999999994,34.600000000000016,7.105427357601002e-15,31.25,0.0
0.61,0.49999999999999994,34.4,7.105427357601002e-15,31.5,0.0
0.61,0.16999999999999998,39.75000000000001,7.105427357601002e-15,26.149999999999988,3.552713678800501e-15
0.61,0.18,39.600000000000016,7.105427357601002e-15,26.199999999999985,1.7763568394002505e-14
0.61,0.5099999999999999,34.19999999999999,1.4210854715202004e-14,31.7,1.0658141036401503e-14
0.61,0.5199999999999999,27.15999999999999,7.105427357601002e-15,25.880000000000006,0.0
0.61,0.22999999999999998,38.55000000000001,1.4210854715202004e-14,27.000000000000004,3.552713678800501e-15
0.61,0.24,38.50000000000001,0.0,26.999999999999996,1.0658141036401503e-14
0.61,0.4099999999999999,35.75,0.0,29.800000000000015,1.0658141036401503e-14
0.61,0.41999999999999993,35.65,7.105427357601002e-15,29.9,0.0
0.61,0.59,29.760000000000005,3.552713678800501e-15,29.75,0.0
0.61,0.13,40.75000000000001,0.0,25.599999999999994,7.105427357601002e-15
0.61,0.13999999999999999,40.44999999999999,1.4210854715202004e-14,25.800000000000015,1.7763568394002505e-14
0.61,0.30999999999999994,37.30000000000001,1.4210854715202004e-14,28.050000000000015,1.0658141036401503e-14
0.61,0.31999999999999995,37.1,7.105427357601002e-15,28.250000000000004,3.552713678800501e-15
0.61,0.5499999999999999,30.71999999999998,1.0658141036401503e-14,30.600000000000005,0.0
0.61,0.5599999999999999,30.800000000000004,1.0658141036401503e-14,30.699999999999996,1.0658141036401503e-14
0.61,0.19,39.35,7.105427357601002e-15,26.4,0.0
0.61,0.19999999999999996,39.15,7.105427357601002e-15,26.550000000000015,1.7763568394002505e-14
0.61,0.32999999999999996,36.94999999999999,1.4210854715202004e-14,28.449999999999985,1.4210854715202004e-14
0.61,0.33999999999999997,36.80000000000001,7.105427357601002e-15,28.550000000000015,1.4210854715202004e-14
0.61,0.57,30.840000000000018,1.4210854715202004e-14,30.949999999999985,1.7763568394002505e-14
0.61,0.58,30.800000000000015,1.4210854715202004e-14,31.35,0.0
0.61,0.14999999999999997,40.30000000000001,7.105427357601002e-15,25.85,0.0
0.61,0.15999999999999998,40.0,0.0,25.999999999999996,3.552713678800501e-15
0.61,0.29,37.6,0.0,27.800000000000015,1.7763568394002505e-14
0.61,0.3,37.4,0.0,28.0,0.0
0.61,0.5299999999999999,30.760000000000005,3.552713678800501e-15,30.050000000000015,7.105427357601002e-15
0.61,0.5399999999999999,30.840000000000018,1.4210854715202004e-14,30.199999999999985,1.7763568394002505e-14
